Dates,Localisation,ESR,Type,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-10,RIXHEIM,non,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-04,VILLENEUVE-LES-BEZIERS,oui,Collision,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-11,SAULON,non,Talonnage d’aiguille ou bivoie,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-02,CHASSE SUR RHONE,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-16,HENDAYE,non,Déraillement,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-07,CHÂTEAU-THIERRY,non,Porte ouverte en ligne,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-26,AMBERIEU,non,Boîte chaude,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-06,SAINT AVERTIN,oui,Défaut ayant conduit à un risque grave,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-28,REIMS,non,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-06,DIJON,non,Réception intempestive sur voie occupée,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-05,VERNEUIL L'ETANG,oui,Expédition sans ordre,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-05,La RIVIERE DRUGEON,non,Incident caténaire,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-18,MONTIGNY BEAUCHAMPS,non,Déraillement,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-01,CANNES MARCHANDISES,non,Accostage brutal,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-26,HYERES,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-12,Entre MIECAZE et VIESCAMP,non,Accident du travail,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-04-10,STRASBOURG,oui,Porte ouverte en ligne,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-16,SAINT AGNAN NOYERS,non,Déraillement,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-31,LILLE,non,Restitution d'une Demande de Fermeture de Voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-05-22,Entre TROYES et BRIENNE LE CHÂTEAU,oui,Défaut géométrie voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-12,SAINT OPIERRE DES CORPS,non,Talonnage d’aiguille ou bivoie,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-16,Entre GOULAND et TREGONNEAU,oui,Raté de fermeture à un passage à niveau,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-06-09,TECHNICENTRE LORRAINE,non,Collision contre obstacle,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-02,Chauny,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-13,Hourcade,non,Réception intempestive sur voie occupée,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-06,La Baule Escoublac,non,Talonnage d’aiguille ou bivoie,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-06,Montsoult Maffliers,oui,Collision contre obstacle,,,,,,,,,,,,,,,,,,,,,,,,,,
