Dates,Localisation,ESR,Type,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-27,MONTEREAU,non,Porte ouverte en ligne,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-28,NIMES,non,Engagement de gabarit suite à désemparement de pièce,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-02,GEVREY TRIAGE,non,Accostage brutal,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-13,HENDAYE,non,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-15,NOGENT LE PERREUX,non,Sortie intempestive ou engagement d’un domaine fermé,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-03,FARBUS,non,Avarie matériel roulant,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-20,CALAIS-VILLE,non,Porte ouverte en ligne,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-02,BAR Sur AUBE,oui,Désordre d’ouvrage en terre,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-01,ERMONT,non,Accident du travail,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-20,TECHNICENTRE LORRAINE,non,Accident du travail,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-21,NC,non,Accident du travail,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-22,ANNEMASSE,non,Accident du travail,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-12,LEAZ,oui,Collision entre trains ou éléments de trains,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-25,BORDEAUX SAINT-JEAN,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-19,POITIERS,non,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-07,LOURCHES,non,Incident grave,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-22,Saint-EGREVE,non,Raté de fermeture à un passage à niveau,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-28,WOIPPY,non,Collision,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-27,Lyon Vaise,non,Collision entre trains ou éléments de trains,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-19,Sibelin,non,Collision entre trains ou éléments de trains,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-24,Toulouse Raynal,non,Départ sans autorisation,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-21,St Jory,oui,Défaillance voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-13,Dax,oui,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-10,La Valbonne,non,Raté de fermeture à un passage à niveau,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-14,Génolhac,oui,Désordre d’ouvrage en terre,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-13,Paris Gare de Lyon,non,Collision avec enfoncement de heurtoir,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-08,Entre Bourmont et Neufchâteau,oui,Acte de malveillance,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-10,Woippy,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-06,Gevrey Chambertin,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-06,Caen dépôt,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-07,St Fergueux,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-11-06,Gargan,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-28,Jarville la Malgrange,non,Point limite d’un pantographe dépassé par une circulation électrique,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-30,Boran Sur Oise,oui,Raté de fermeture à un passage à niveau,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-25,Chalais,non,Perte d’organe du matériel roulant,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-09,Malesherbes,non,Engagement intempestif d’une circulation sur une voie protégée,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-04,Bordeaux,non,Collision entre trains ou éléments de trains,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-05,Ludres,oui,Accident de personne,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-05,Phalempin,non,Porte ouverte en ligne,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-06,Laqueuille,non,Non respect du point d’arrêt,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-06,Batignolles,non,Départ sans autorisation,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-08,Le Landy,non,Accident du travail,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-05,Joncherolles,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-01-31,Asnières,non,Talonnage d’aiguille ou bivoie,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-05,Puyoo,non,Talonnage d’aiguille ou bivoie,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-08,Ollioules,oui,Mise en œuvre de travaux en dehors du domaine fermé,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-27,Paris-Austerlitz Massena,non,Nez à nez,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-27,Trappes,non,Erreur grave de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-14,Pagny Moselle,oui,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-16,Forbach,non,Matières Dangereuses,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-31,Amiens,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-03,Gare de Rambouillet,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-01,Bourget Triage,oui,Défaillance voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-02,Entre Merrey et Culmont-Chalindrey,oui,incident caténaire,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-15,Baroncourt,non,Accident de personne,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-28,Saint Denis,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-01,Notre Dame de Briançon,non,Incident caténaire,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-03,Rives,oui,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-03,Hourcade,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-15,Colmar,oui,Ouverture par un tiers d’une porte de TGV en marche,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-10,Noisy Le Sec,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-03,Lyon Saint Exupéry,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-23,Chateau Thierry,non,Point limite d’un pantographe dépassé par une circulation électrique,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-21,Sibelin,oui,Collision,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-18,Entre Toulouse et Auch,oui,Collision contre un obstacle à un passage à niveau,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-26,Lyon Guillotière,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-24,Lyon Guillotière,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-26,Grenoble Buisserate,non,Marchandises dangereuses,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-20,Nantes,non,Perte d’organe du matériel roulant,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-23,Bollene,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-24,Entre Sotteville & Bif. de Darnetal,non,Collision contre obstacle,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-17,Hellemmes,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-23,Chantier Paris Ourcq,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-18,Gare de Paris Saint Lazare,oui,Accident du travail,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-13,Bibliothèque François Mitterrand,non,Porte ouverte en ligne,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-13,Nîmes,non,Engagement de gabarit suite à désemparement de pièce,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-17,Sète,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-19,Aubigny au Bac,oui,Défaillance voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-10,Somain,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-20,Gandrange,non,Talonnage d’aiguille ou bivoie,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-11,Valognes,non,Accident de personne,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-14,Paris Montparnasse,non,Dérive,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-23,Lesparre,non,Incident caténaire,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-28,Laroche Migennes,oui,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-22,Bourg-en-Bresse,oui,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-17,Valence TGV,oui,Départ sans autorisation,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-22,Sibelin,non,Réception intempestive sur voie occupée,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-22,Montlouis sur Loire,non,Collision contre obstacle,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-19,Anvers,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-04-29,Graveson,non,Boîte chaude,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-09,Serqueux,oui,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-23,Montpellier,oui,Déraillement,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-25,Entre Cosne et la Charité,oui,Incident grave de signalisation,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-04,Saint-Marcel,oui,Déraillement,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-02,Villemonble,oui,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-17,Montsoult-Maffliers,non,Circulation de véhicule non autorisée,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-01,Amberieu,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-29,Fos-Viguerat,oui,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-26,La Charité,oui,Incident grave de signalisation,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-09-08,Tourcoing,non,Matières dangereuses,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-12,Paris Bercy,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-13,Massy Palaiseau,non,Réception intempestive sur voie occupée,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-27,Miramas,oui,Dérive,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-12,Le Bourget Triage,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-08,Paris Saint-Lazare,oui,Dérive,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-30,Villeneuve Triage,non,Talonnage d’aiguille ou bivoie,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-22,Entre Monts et Maillé,oui,Engagement de gabarit avec collision,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-03,Achères,non,Départ sans autorisation,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-12,Paris Saint-Lazare,oui,Dérive,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-08-11,Entre Mezy et Condé en Brie,non,Défaillance voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-17,Coursan,oui,Engagement intempestif d’une circulation sur une voie protégée,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-24,Lyon Part-Dieu,oui,Incendie dans un train,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-13,Villeneuve Prairie,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-19,Albigny Neuville,non,Incident caténaire,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-07,Villers en Argonne,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-25,Hochfelden,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-15,Bordeaux Saint-Jean,non,Evolution vers une voie occupée,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-23,Gevrey,non,Déraillement,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-15,Entre Pont-Sainte-Maxence et Compiègne,non,Porte ouverte en ligne,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-15,Seurre,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-04,Vaucresson,non,Accident de personne,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-20,Brive,non,Non mise en protection,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-01,Maisons Alfort Alfortville,non,Porte ouverte en ligne,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-20,Embranchement Tavaux-Solvay,non,Collision par prise en écharpe,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-28,Entre Agonac et Château l'Eveque,non,Défaut géométrie voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-06-29,Lyon Part Dieu,non,Dégagement de fumée sur matériel roulant,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-18,ENTRE SAINT-GERMAIN AU MONT D'OR ET LOZANNE,oui,Erreur grave de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-08,THIONVILLE,non,Matières dangereuses,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-27,SAINT-JORY,oui,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-21,VILLEFRANCHE DE ROUERGUE,non,Dépassement de vitesse supérieur à 40km/h,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-06,GUETHARY,oui,Dépassement de vitesse supérieur à 40km/h,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-18,GARE DE SAINT-MARTIN D'ETAMPES,non,Pénétration intempestive sur domaine fermé,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-24,MACON,non,Incident caténaire,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-19,ENTRE LEROUVILLE ET METZ-VILLE,oui,Défaut géométrie voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-30,PARIS MONTPARNASSE,non,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-16,TECHNICENTRE EST EUROPEEN,non,Déraillement,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-18,Paris Bercy,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-19,Mulhouse-Nord,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-11,Dole Ville,non,Déraillement,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-04-05,Gadagne,oui,Incident grave de signalisation,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-11,Gare de Bois-Colombes,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-12,Châlons-sur-Saône,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-18,Perrigny,non,Réception intempestive sur voie occupée,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-06,Nîmes,non,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-20,Entre Vallentigny et Vitry le François,oui,Défaut géométrie voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-18,Dijon Ville,non,Départ sans autorisation,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-22,VERSAILLES CHANTIER,oui,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-26,ENTRE AIX LES BAINS ET CULOZ,oui,Incident grave de passage à niveau,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-12,SOMAIN,non,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-03,VERNON GIVERGNY,non,Porte ouverte en ligne,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-18,MONSOULT-MAFFLIERS,non,Expédition sans ordre,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-26,MONTROUGE,oui,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-27,NIMES,non,Erreur grave de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-15,LYON,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-09,SAILLANS,oui,Dépassement de vitesse supérieur à 40km/h,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-01,MONTCRICHART,oui,Raté de fermeture à un passage à niveau,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-14,MONTIGNY BEAUCHAMPS,non,Déraillement,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-17,LE HAVRE,oui,Collision entre trains ou éléments de trains,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-04,NANTES,non,Déraillement,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-06,HENDAYE,non,Incident caténaire,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-10,ACHERES,oui,Incident grave,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-16,PARIS AUSTERLITZ,non,Départ sans autorisation,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-23,Lyon Saint Clair,non,Dégagement intempestif du domaine fermé,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-25,ANSE,oui,Expédition sans ordre,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-14,LONGUEVILLE,oui,Expédition sans ordre,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-05,MAINTENON,oui,Arrêt hors de quai de tout ou partie d’un train de voyageurs,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-26,CHARTRES,oui,Expédition sans ordre,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-29,LUTTERBACH,oui,Pénétration intempestive sur domaine fermé,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-08,Entre ANGOULEME et LIMOGES,non,Mise en œuvre de travaux en dehors du domaine fermé,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-14,VEZENOBRES,oui,Défaillance d'ouvrage,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-29,HENDAYE,non,Collision avec enfoncement de heurtoir,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-27,Bordeaux,non,Insuffisance de freinage,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-03,Miramas,oui,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-28,Aix les Bains le Revard,oui,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-05,Angers Saint Laud,oui,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-09,Bersac,oui,Incendie dans un train,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-27,Thiviers,non,Collision par prise en écharpe,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-09,Valence,oui,Dérive,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-16,Thiers,oui,Expédition sans ordre,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-17,Lisle sur Tarn,oui,Incendie dans un train,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-08-18,Gondrexange,non,Collision entre trains ou éléments de trains,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-07-26,Verzeille,non,Collision contre obstacle à un passage à niveau,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-23,GRENOBLE,non,Dégagement intempestif du domaine fermé,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-15,BORDEAUX,non,Réalimentation intempestive des caténaires,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-29,LISON,non,Déraillement,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-16,PARIS NORD,non,Mise en œuvre de travaux en dehors du domaine fermé,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-19,COLOMBIERS,non,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-22,WANHEHAIN,non,Péremption du potentiel kilométrique,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-23,MONTCHANIN,non,Collision contre obstacle,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-26,MULHOUSE,non,Composition non conforme,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-09-14,PONT CARDINET,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-10-03,ENTRE AVORD ET NERONDES,non,Défaut géométrie voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-13,ENTRE BEILLANT ET SAINT MARIENS,oui,Défaillance voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-23,PELTRE,oui,Expédition sans ordre,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-29,AGEN,non,Engagement de gabarit suite à désemparement de pièce,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-22,MOLSHEIM,non,Engagement intempestif d’une circulation sous caténaire consignée,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-12-11,PARIS BERCY CONFLANS,non,Accostage brutal,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-26,MARSEILLE,non,Incident caténaire,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-11-23,BOIS-COLOMBES,non,Collision avec enfoncement de heurtoir,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-24,SAINT-PIERRE DES CORPS,oui,Collision entre trains ou éléments de trains,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-01,ENTRE CLAVEYSON ET VALENCE TGV,oui,Erreur de procédure,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-17,GRETZ,oui,Quasi accident de travail,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-01,METZ-VILLE,non,Déraillement,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-23,LOURDES,non,Ouverture par un tiers d’une porte en marche,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-20,GRAVESON,non,Boîte chaude,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-31,REDON,non,Départ sans autorisation,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-31,BRIVE,non,Frein serré,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-06,CORDEMAIS,non,Expédition sans ordre,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-10,VILLENEUVE-PRAIRIE,non,Départ sans autorisation,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-17,CORBEHEM,non,Déraillement,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-15,SOULTZ-SOUS-FORÊTS,non,Raté de fermeture à un passage à niveau,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-13,RAMBOUILLET,non,Electrisation,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-13,Les ARDOINES,non,Electrisation,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-01-18,ROUEN RIVE-DROITE,oui,Dérive,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-06,CHABANAIS,non,Circulation de véhicule non autorisée,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-14,Entre BELFORT et DELLE,non,Electrisation,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-02-03,PARIS-SUD-EST,non,Electrisation,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-03-03,BUSSAC,oui,Incident grave,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-28,Dieulouard,non,Talonnage d’aiguille ou bivoie,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-13,Septemes,oui,Incendie dans un train,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-17,Narbonne,oui,Dépassement de vitesse supérieur à 40km/h,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-05-21,Luneville,non,Dérive,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-22,Grenoble,non,Talonnage d’aiguille ou bivoie,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-30,Hourcade,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-21,Aulnay sous Bois,oui,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-21,Saint-Jean Maurienne,non,Boîte chaude,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-02,La Penne sur Huveaune,oui,Incendie dans un train,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-07,La Ferte Milon,non,Talonnage d’aiguille ou bivoie,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-06-22,Saint-Die des Vosges,non,Défaillance voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-07-01,Vichy,oui,Défaillance voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-25,Tonnerre,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-20,Entre Vénisieux et Bourgoin Jallieu,oui,Incendie dans un train,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-25,Tarare,non,Expédition sans ordre,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-19,Toulouse Poste 3,non,Point limite d’un pantographe dépassé par une circulation électrique,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-26,Lyon Technicente,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-23,Bossey,non,Incident caténaire,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-19,Famechon,non,Quasi accident de travail,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-02,Valenciennes,oui,Défaillance voie,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-27,Grenoble,non,Dégagement de fumée sur matériel roulant,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-02-27,Port La Nouvelle,non,Déraillement sans engagement de la voie principale,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-03,Castre,non,Expédition sans ordre,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-19,Laon,oui,Dérive,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-21,Fos-sur-Mer,oui,Dépassement de vitesse supérieur à 40km/h,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-08,Vaires,non,Non respect du point d’arrêt,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-03,Joncherolles,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-20,Nice,non,Franchissement de signal,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-03-18,Metz ville,non,Réception intempestive sur voie occupée,,,,,,,,,,,,,,,,,,,,,,,,,,
